"测量工程师","5.5","2023-02-11 23:23:27","4.5","4","2023-01-03 12:23:28","本科及以上","武汉普瑞斯测量技术有限公司","https://t4.chei.com.cn/student/ncss/cdn/job/img/gr8ebub1thoame9d.png","湖北","1-49人","五险一金，带薪年假，技能培训，绩效奖金，交通补助，午餐补助，通讯津贴，提供住宿","机械设计及制造、自动化、智能制造相关","民营企业"
"方案营销工程师","5.5","2023-02-11 23:23:24","4.5","2","2023-01-03 12:23:32","本科及以上","武汉普瑞斯测量技术有限公司","https://t3.chei.com.cn/student/ncss/cdn/job/img/gr8ebub1thoame9d.png","湖北","1-49人","五险一金，带薪年假，技能培训，绩效奖金，交通补助，午餐补助，通讯津贴，提供住宿","机械设计及制造、自动化、智能制造相关","民营企业"
"软件开发工程师","8.5","2023-02-11 23:23:22","7.5","2","2023-01-03 12:23:35","本科及以上","武汉普瑞斯测量技术有限公司","https://t1.chei.com.cn/student/ncss/cdn/job/img/gr8ebub1thoame9d.png","湖北","1-49人","五险一金，带薪年假，技能培训，绩效奖金，交通补助，午餐补助，通讯津贴，提供住宿","智能制造学院、人工智能学院或相关专业","民营企业"
"签约服装艺人","30","2023-02-11 23:03:14","15","5","2023-02-08 23:41:50","不限","北京悦领航教育科技有限公司","https://t1.chei.com.cn/student/ncss/cdn/job/img/qvjbwag8bdpsujh5.png","北京","500-999人","五险一金，带薪年假，岗位晋升，技能培训，年终分红","酒店管理 旅游管理 空中乘务 交通运输类 民航运输 邮轮乘务 高速铁路客运乘务 舞蹈 播音 服装表演","民营企业"
"前厅礼仪接待","9","2023-02-11 23:03:10","7","5","2023-02-08 23:42:13","不限","北京悦领航教育科技有限公司","https://t2.chei.com.cn/student/ncss/cdn/job/img/qvjbwag8bdpsujh5.png","北京","500-999人","五险一金，带薪年假，岗位晋升，技能培训，年终分红","酒店管理 旅游管理 空中乘务 交通运输类 民航运输 邮轮乘务 高速铁路客运乘务 英语","民营企业"
"米其林高级服务师","10","2023-02-11 23:02:56","7","5","2023-02-08 23:50:08","不限","北京悦领航教育科技有限公司","https://t2.chei.com.cn/student/ncss/cdn/job/img/qvjbwag8bdpsujh5.png","北京","500-999人","五险一金，带薪年假，岗位晋升，技能培训，年终分红","酒店管理 旅游管理 空中乘务 交通运输类 民航运输 邮轮乘务 高速铁路客运乘务 舞蹈 播音 服装表演","民营企业"
"销售经理（管培）","30","2023-02-11 21:41:49","10","50","2022-12-31 08:49:31","本科及以上","德佑房地产经纪有限公司上海第一百四十三分公司","https://t3.chei.com.cn/student/ncss/cdn/job/img/s9qz6xxt03sfh932.png","上海","5000以上","五险一金，带薪年假，岗位晋升，技能培训，定期体检，节日礼物","工学 理学 文学 法务 行政 通信 哲学 经济学 法学 教育学 历史学 农学 医学 管理学 艺术学","上市公司"
"房产销售&短视频运营","30","2023-02-11 21:41:46","8","10","2022-12-31 08:49:37","本科及以上","德佑房地产经纪有限公司上海第一百四十三分公司","https://t1.chei.com.cn/student/ncss/cdn/job/img/s9qz6xxt03sfh932.png","上海","5000以上","五险一金，带薪年假，岗位晋升，技能培训，定期体检，节日礼物","工学 理学 文学 行政 通信 哲学 经济学 法学 教育学 历史学 农学 医学 管理学 艺术学","上市公司"
"安全工程师","15","2023-02-11 21:31:48","5","15","2022-12-14 11:19:12","本科及以上","南通恒泰企业服务有限公司","https://t2.chei.com.cn/student/ncss/cdn/job/img/8nzxvwyjv6h58rsr.png","江苏","100-499人","五险一金，带薪年假，岗位晋升，技能培训，年终奖，年度旅游，交通补助，午餐补助，通讯津贴，节日礼物","安全工程 职业卫生工程 应急技术与管理 安全技术与管理 安全科学与工程 雷电防护科学与技术 灾害防治工程","民营企业"
"废气、废水治理工程师","20","2023-02-11 21:31:48","5","30","2022-12-14 11:18:55","本科及以上","南通恒泰企业服务有限公司","https://t2.chei.com.cn/student/ncss/cdn/job/img/8nzxvwyjv6h58rsr.png","江苏","100-499人","五险一金，带薪年假，岗位晋升，技能培训，年终奖，年度旅游，交通补助，午餐补助，通讯津贴，节日礼物","环保工程 环保设备工程 工程 暖通 化工 土木工程","民营企业"
